job_title,company,location,salary_min,salary_max,match_score,matching_skills,posting_date,application_url
Lead/Principal Transport Economist,AtkinsRéalis,"Bangalore, Karnataka",,,0.0,0,2026-07-05T03:52:19Z,https://www.adzuna.in/land/ad/5788489961?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=8AC03D6348B6F45852C70C91AA86D0E4BCDB929F
Senior Actuarial Analyst,360F,"Bangalore, Karnataka",,,0.0,0,2026-07-08T20:02:53Z,https://www.adzuna.in/land/ad/5792487288?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=8668A8DC184A5202BC76877679ECDBC2F34AE4DE
Lead RTL Design Engineer,ACL Digital,"Bangalore, Karnataka",,,0.0,0,2025-07-07T09:14:58Z,https://www.adzuna.in/land/ad/5289687972?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=3D4E7CD2FA9341F588D4ACF2D9D7353471B7A021
RTL Design Engineer,HCLTech,"Bangalore, Karnataka",,,0.0,0,2026-07-02T01:22:23Z,https://www.adzuna.in/land/ad/5784149503?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=1D20C4CB095D6AD81B201ECE120CB7ADC0AA3747
Functional Verification Engineer,ACL Digital,"Bangalore, Karnataka",,,0.0,0,2025-07-07T09:13:26Z,https://www.adzuna.in/land/ad/5289684189?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=7C50B842B97AEC1F483FCD8D657B7D7BAFE3C4BC
AI Project Manager,Accenture in India,"Bangalore, Karnataka",,,0.0,0,2026-07-04T17:06:19Z,https://www.adzuna.in/land/ad/5787964879?se=znjNFIGF8RG974pouqc-_w&utm_medium=api&utm_source=aacca97d&v=441F3EF863609878F0C024AF192A9DBDD916E0EB
Python Developer,GRowth Gamut Pvt. Ltd,"Bangalore, Karnataka",500000.0,1200000.0,100.0,1,2019-10-29T12:53:45Z,https://www.adzuna.in/details/1316186815?utm_medium=api&utm_source=aacca97d
Python Developer,agileone,"Bangalore, Karnataka",1500000.0,3000000.0,100.0,1,2022-07-20T06:36:30Z,https://www.adzuna.in/details/3332674216?utm_medium=api&utm_source=aacca97d
Python Developer,Deqode,"Bangalore, Karnataka",500000.0,2500000.0,100.0,1,2025-03-29T04:43:52Z,https://www.adzuna.in/details/5116934898?utm_medium=api&utm_source=aacca97d
Python Developer,Calpion Software Technologies,"Bangalore, Karnataka",,,100.0,1,2026-06-18T07:16:13Z,https://www.adzuna.in/details/5767424178?utm_medium=api&utm_source=aacca97d
Python Developer,P99soft,"Bangalore, Karnataka",1000000.0,1500000.0,100.0,1,2024-03-06T15:27:53Z,https://www.adzuna.in/details/4595317345?utm_medium=api&utm_source=aacca97d
Python Developer,Freelancer,"Bangalore, Karnataka",600000.0,1500000.0,100.0,1,2021-06-21T16:56:29Z,https://www.adzuna.in/details/2268923116?utm_medium=api&utm_source=aacca97d
Python Developer,Sagacious Programming & Development Pvt Ltd,"Bangalore, Karnataka",500000.0,1200000.0,100.0,1,2019-06-05T21:12:13Z,https://www.adzuna.in/details/1171508030?utm_medium=api&utm_source=aacca97d
Python Developer,Innovatily,"Bangalore, Karnataka",0.0,1000000.0,100.0,1,2021-12-05T03:01:04Z,https://www.adzuna.in/details/2709289125?utm_medium=api&utm_source=aacca97d
Python Developer,Talent Socio Bizcon LLP,"Bangalore, Karnataka",0.0,1200000.0,100.0,1,2020-10-09T02:04:12Z,https://www.adzuna.in/details/1750562804?utm_medium=api&utm_source=aacca97d
Python Developer,GrowthFalcons,"Bangalore, Karnataka",0.0,600000.0,100.0,1,2020-07-04T21:58:31Z,https://www.adzuna.in/details/1593881823?utm_medium=api&utm_source=aacca97d
Python Engineer,"First Tek, Inc.","Bangalore, Karnataka",1500000.0,2500000.0,100.0,1,2026-04-15T11:46:26Z,https://www.adzuna.in/details/5699844761?utm_medium=api&utm_source=aacca97d
Python Developer,LogIQ Labs Pvt.Ltd.,"Bangalore, Karnataka",600000.0,1100000.0,100.0,1,2026-07-15T15:12:47Z,https://www.adzuna.in/details/5801031860?utm_medium=api&utm_source=aacca97d
Python Developer,91social,"Bangalore, Karnataka",500000.0,1800000.0,100.0,1,2020-09-20T02:07:48Z,https://www.adzuna.in/details/1714382986?utm_medium=api&utm_source=aacca97d
